pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2015053894,1,1,4,0,,,,,805,0,70,,12,2016,1,16,90,4,5,7,9,3,8,9,2,0,4,1,5,3,3,,1,1,6,2,9,0,0,9,9,99,999,99,99,1,223569,753140
2015062620,1,1,1,4000,1161,554,,9210322,,,,,11,2016,2,6,33,4,1,7,1,3,2,8,0,3,3,1,5,3,1,2,1,2,9,9,9,0,0,9,3,31,311,0,13,1,196242,747494
2015066255,1,1,2,6300,609,,1,,,,,,20,2016,1,27,61,4,1,4,9,3,12,8,1,0,1,1,2,3,1,2,1,1,9,9,9,0,0,9,5,51,512,0,15,3,182236,663353
2016000001,1,1,1,5000,714,720,,80150504,,,,,20,2016,8,9,94,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,5,51,511,0,13,1,179175,665225
2016000008,1,1,2,3000,5405,,4,,,,,,61,2016,8,21,32,4,1,1,9,3,3,8,0,3,1,1,3,3,1,7,1,1,9,9,9,0,0,9,1,11,111,0,12,3,221605,629186
2016000020,1,1,1,9100,458,467,,8850006,,,,,11,2016,11,7,76,4,5,2,9,3,2,8,3,0,1,1,3,3,3,1,1,1,9,9,9,0,0,9,2,24,245,0,15,1,208922,766064
2016000024,1,1,2,7400,847,,9999,,,,,,51,2016,10,6,65,4,1,5,9,3,1,9,0,3,1,1,1,3,1,,1,1,9,9,7,0,0,9,4,41,411,0,13,3,188386,690385
2016000031,1,1,1,4000,684,644,,8910422,,,,,11,2016,11,20,29,4,1,1,9,3,1,8,3,0,1,1,4,3,1,6,1,1,9,9,6,8,0,9,3,31,311,0,13,1,198665,745135
2016000032,1,1,4,0,,,,,864,0,120,,12,2016,8,12,35,4,1,6,9,3,8,9,2,0,4,1,2,3,1,,1,1,6,1,9,0,0,9,9,99,999,99,99,1,229374,766578
2016000048,1,1,2,6100,835,,2,,,,,,20,2016,12,14,52,4,1,4,9,3,2,8,1,0,1,1,2,3,1,7,2,2,9,9,9,0,0,9,5,51,512,0,14,1,184997,666591
2016000049,1,1,3,0,,,,,1,,,,20,2016,8,16,85,4,5,3,0,3,10,9,1,0,5,0,0,3,3,1,1,1,9,9,9,0,0,9,9,99,999,99,99,3,210809,634179
2016000071,1,1,2,7900,1008,,5,,,,,,51,2016,5,1,58,4,1,1,9,3,2,8,3,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,4,42,422,0,13,3,187362,666912
2016000078,1,1,1,4000,211,250,,200132,,,,,11,2016,5,18,46,4,1,4,9,3,4,8,3,0,5,1,1,1,1,7,1,1,9,9,9,0,0,9,3,31,311,0,13,1,202375,745106
2016000080,1,1,1,70,863,189,,9430312,,,,,38,2016,5,9,1,4,5,2,9,3,1,8,0,3,1,1,2,4,6,7,1,1,9,9,9,3,3,2,6,61,613,0,13,1,165926,632929
2016000082,1,1,2,9000,1166,,9999,,,,,,34,2016,1,11,31,4,1,2,9,3,1,9,0,3,1,1,2,3,1,7,1,1,9,9,9,3,2,1,6,62,623,0,13,3,178048,574592
2016000085,1,1,1,6900,340,333,,320007,,,,,51,2016,2,20,63,4,1,7,0,3,3,8,3,0,1,1,3,3,1,1,1,1,9,9,9,0,0,9,4,42,421,0,15,1,191084,676326
2016000094,1,1,1,6200,220,426,,8880011,,,,,20,2016,8,7,43,4,1,1,9,3,4,9,0,3,1,1,0,3,1,5,1,1,9,9,9,0,0,9,5,51,513,0,14,1,176595,659429
2016000110,1,1,1,9000,509,501,,8210032,,,,,34,2016,9,23,63,4,1,6,0,3,2,8,3,0,1,1,3,3,1,6,1,1,9,9,9,0,0,9,6,62,623,0,13,1,181460,573877
2016000116,1,1,4,0,,,,,8900,0,539,,12,2016,7,5,61,4,1,3,9,3,4,9,2,0,2,1,2,3,1,7,1,1,9,9,9,0,0,9,9,99,999,99,99,1,247908,763612
2016000129,1,1,2,6600,532,,1,,,,,,20,2016,5,29,56,4,1,1,9,3,1,8,1,0,1,1,2,3,1,,1,1,9,9,9,4,3,9,5,51,513,0,14,1,178147,659013
2016000135,1,1,2,7600,402,,9999,,,,,,11,2016,10,10,51,4,1,2,9,3,1,8,3,0,1,1,2,3,1,6,1,1,9,9,9,3,3,1,2,24,246,0,16,3,207407,759778
2016000137,1,1,2,6600,795,,22,,,,,,20,2016,5,5,76,4,1,5,9,3,1,8,2,0,1,1,2,3,1,,1,1,9,9,9,3,3,9,5,51,513,0,14,1,178443,656304
2016000144,1,1,1,5000,304,302,,490222,,,,,20,2016,2,16,42,4,1,3,1,3,2,8,3,0,1,1,2,3,1,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,184336,669950
2016000149,1,1,3,0,,,,,461,412,94,1983,20,2016,5,17,75,4,1,3,1,3,2,8,0,2,3,1,2,3,1,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,188847,659439
2016000150,1,1,1,5000,2860,2822,,80150980,,,,,20,2016,7,10,31,4,1,1,9,3,1,9,1,0,1,1,2,3,1,7,1,1,9,9,9,1,3,2,5,51,511,0,13,1,180278,661653
2016000154,1,1,1,5000,2165,2138,,50741,,,,,20,2016,7,18,49,4,1,2,0,3,2,8,3,0,1,1,3,3,1,5,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177730,661724
2016000166,1,1,4,0,,,,,70,0,640,,11,2016,7,12,51,4,1,3,9,3,10,9,1,0,5,1,2,3,1,,1,1,6,1,9,0,0,9,9,99,999,99,99,1,216883,755717
2016000170,1,1,1,1061,158,159,,7010002,,,,,14,2016,1,3,85,4,5,1,1,3,2,9,0,3,1,1,5,3,3,2,2,2,9,9,9,0,0,9,2,23,237,0,16,1,229482,734141
2016000172,1,1,2,1061,161,,9999,,,,,,14,2016,10,30,59,4,1,1,9,3,1,8,0,3,1,1,2,3,1,,1,1,9,9,9,0,0,9,2,23,237,0,16,3,229379,733749
2016000174,1,1,2,6600,529,,1,,,,,,20,2016,5,24,35,4,1,3,9,3,4,8,3,0,1,1,2,4,1,,1,1,9,9,9,0,0,9,5,51,513,0,14,1,177984,659018
2016000188,1,1,2,7100,561,,9,,,,,,38,2016,12,19,32,4,1,2,9,3,2,9,3,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,6,61,614,0,14,1,159175,618396
2016000189,1,1,1,9000,102,964,,10200521,,,,,34,2016,10,20,94,3,5,5,1,3,2,9,3,0,1,1,3,3,3,2,1,1,9,9,9,0,0,9,6,62,623,0,13,1,180478,571946
2016000205,1,1,1,1061,158,124,,7010002,,,,,14,2016,8,31,38,4,1,4,1,3,2,8,0,3,3,1,5,3,1,2,1,1,9,9,9,0,0,9,2,23,237,0,16,1,229482,734141
2016000217,1,1,1,70,206,580,,9370211,,,,,38,2016,4,6,94,4,5,4,1,3,2,9,0,3,1,1,4,3,3,2,1,1,9,9,9,0,0,9,6,61,613,0,13,1,168209,631884
2016000230,1,1,3,0,,,,,804,805,0,3842,12,2016,3,18,77,4,5,6,0,2,1,9,0,2,1,1,2,3,3,6,1,1,9,9,9,3,3,2,9,99,999,99,99,1,231811,751525
2016000240,1,1,4,0,,,,,989,0,101,,12,2016,7,10,48,4,1,1,9,3,2,9,3,0,4,1,2,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,270886,796178
2016000242,1,1,2,4000,512,,127,,,,,,11,2016,9,18,47,4,1,1,9,3,2,8,3,0,1,1,2,3,1,,1,1,9,9,9,0,0,9,3,31,311,0,13,1,198461,747586
2016000245,1,1,2,507,0,,9999,,,,,,11,2016,11,26,84,4,5,7,9,3,4,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,2,24,245,99,28,2,215589,762117
2016000246,1,1,1,70,580,335,,9680325,,,,,38,2016,4,22,68,2,1,6,1,3,2,9,0,3,1,1,4,3,1,2,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167430,632315
2016000251,1,1,1,4000,180,235,,330122,,,,,11,2016,6,30,29,4,1,5,9,3,2,9,3,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,3,31,311,0,13,1,207375,747423
2016000260,1,1,1,1200,630,303,,780205,,,,,52,2016,9,18,71,4,1,1,1,3,2,9,0,3,1,1,3,3,1,2,1,1,9,9,9,0,0,9,4,43,431,0,15,1,199918,642965
2016000275,1,1,2,8300,361,,20,,,,,,52,2016,1,13,33,4,1,4,9,3,7,8,1,0,1,1,1,3,1,,1,1,9,9,9,0,0,9,4,44,442,0,13,1,183111,652712
2016000285,1,1,4,0,,,,,85,0,56,,11,2016,11,18,57,4,1,6,9,3,3,8,0,2,5,1,3,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,213367,757669
2016000308,1,1,1,8600,1202,1118,,240216,,,,,20,2016,6,17,41,4,1,6,0,3,4,4,3,0,1,1,1,3,1,1,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183694,664648
2016000314,1,1,2,504,0,,9999,,,,,,12,2016,10,27,57,4,1,5,9,3,8,8,2,0,4,1,3,3,1,,1,1,6,1,9,0,0,9,2,24,241,99,27,2,219874,752775
2016000333,1,1,4,0,,,,,353,0,97,,38,2016,9,26,30,4,1,2,9,1,2,8,2,0,4,1,3,4,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,186183,615278
2016000335,1,1,1,5000,2378,2215,,13530713,,,,,20,2016,7,21,11,4,5,5,1,3,2,8,2,0,1,1,4,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178506,662471
2016000350,1,1,2,516,0,,9999,,,,,,12,2016,6,25,56,4,1,7,9,1,2,8,3,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,2,24,242,99,27,2,224142,758456
2016000351,1,1,4,0,,,,,3,0,2660,,61,2016,3,14,68,4,1,2,9,3,3,8,0,2,5,1,3,3,1,7,1,1,9,9,9,0,0,9,9,99,999,99,99,1,194986,637072
2016000356,1,1,2,5000,2412,,1,,,,,,20,2016,7,26,39,4,1,3,9,3,1,9,0,3,2,1,0,3,1,,1,1,9,9,9,4,2,9,5,51,511,0,13,3,178277,661367
2016000359,1,1,2,5000,1040,,19,,,,,,20,2016,5,27,80,4,5,6,9,3,4,8,1,0,1,1,3,3,3,,1,1,1,9,9,0,0,9,5,51,511,0,13,1,179552,664509
2016000368,1,1,2,542,0,,9999,,,,,,14,2016,3,31,77,4,5,5,9,3,15,8,0,3,1,1,4,3,6,6,1,1,9,9,9,0,0,9,2,23,237,99,27,2,229531,736267
2016000373,1,1,1,3000,1886,1887,,92871992,,,,,61,2016,4,23,85,1,5,7,9,3,1,9,0,3,1,1,2,3,3,7,1,1,9,9,9,4,3,9,1,11,111,0,12,1,221369,626010
2016000380,1,1,1,5000,1245,1242,,11450534,,,,,20,2016,6,4,57,4,1,7,1,3,2,8,1,0,1,1,3,3,1,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178307,663613
2016000397,1,1,2,6600,529,,8,,,,,,20,2016,2,15,43,4,1,2,9,3,12,9,0,3,1,1,0,3,1,,1,1,9,9,9,0,0,9,5,51,513,0,14,1,177995,659088
2016000411,1,1,4,0,,,,,6,0,1612,,51,2016,11,29,48,4,1,3,9,3,8,8,0,2,7,1,3,3,1,,1,1,6,2,9,0,0,9,9,99,999,99,99,1,199937,686947
2016000413,1,2,4,0,,,,,443,0,201,,43,2016,8,11,5,4,5,5,9,3,10,8,2,0,4,1,2,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,207175,644244
2016000421,1,1,2,6600,955,,6,,,,,,20,2016,4,10,1,4,5,1,9,2,1,9,1,0,1,1,2,3,6,7,1,1,9,9,9,1,2,1,5,51,513,0,14,1,178664,657533
2016000426,1,1,2,473,0,,9999,,,,,,11,2016,7,11,45,4,1,2,9,3,3,8,3,0,4,1,4,3,1,,1,1,9,9,9,0,0,9,2,24,245,99,27,2,216069,762901
2016000434,1,1,2,538,0,,9999,,,,,,12,2016,1,11,61,4,1,2,9,3,11,9,3,0,4,1,3,3,1,,1,1,9,9,9,0,0,9,2,24,241,99,28,2,222632,754977
2016000441,1,1,4,0,,,,,85,0,207,,12,2016,8,16,53,4,1,3,9,3,4,8,0,3,5,1,3,3,1,,1,1,6,1,9,0,0,9,9,99,999,99,99,1,228060,758932
2016000444,1,1,1,3000,4135,,,,,,,,61,2016,6,29,85,4,5,4,1,3,2,8,0,3,1,1,3,3,3,2,1,1,9,9,9,0,0,9,1,11,111,0,12,3,221924,637190
2016000464,1,1,4,0,,,,,99,0,10,,12,2016,12,27,70,4,5,3,9,2,3,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,254917,791794
2016000478,1,1,2,4000,905,,14,,,,,,11,2016,4,15,73,4,1,6,9,3,3,9,3,0,1,1,0,5,1,,1,1,9,9,9,0,0,9,3,31,311,0,13,1,200002,745529
