pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2013000001,1,1,2,5000,2465,,100,,,,,,20,2013,1,2,1,4,5,4,9,1,1,9,0,2,1,1,4,3,6,,1,1,9,9,9,1,2,1,5,51,511,0,13,1,179685,662269
2013000002,1,1,2,870,0,,9999,,,,,,51,2013,1,4,1,4,5,6,9,3,1,8,3,0,1,4,0,5,6,,1,6,9,9,9,0,0,9,4,42,422,20,33,2,192712,667196
2013000003,1,1,2,7900,928,,9999,,,,,,51,2013,1,4,1,4,5,6,9,3,1,8,0,1,1,1,2,3,6,2,1,1,9,9,9,3,3,1,4,42,422,0,13,3,187716,665889
2013000005,1,1,1,5000,1202,1216,,80150554,,,,,20,2013,1,9,1,4,5,4,0,3,1,9,1,0,1,1,5,3,3,1,2,2,9,9,9,3,1,1,5,51,511,0,13,1,178021,664026
2013000008,1,1,1,7900,1208,1203,,99970405,,,,,51,2013,1,13,1,4,5,1,9,3,1,8,0,3,1,1,5,3,6,7,1,1,9,9,9,4,9,9,4,42,422,0,13,1,189024,664837
2013000009,1,1,2,5000,2328,,10,,,,,,20,2013,1,8,1,4,5,3,9,3,1,9,1,0,1,1,3,3,3,,1,2,9,9,9,3,3,1,5,51,511,0,13,1,178391,663009
2013000010,1,1,2,7900,634,,9999,,,,,,51,2013,1,13,1,4,5,1,9,3,1,8,3,0,1,1,4,3,6,,1,1,9,9,9,3,3,9,4,42,422,0,13,3,190268,664351
2013000014,1,1,1,6100,309,324,,67750041,,,,,20,2013,1,21,1,4,5,2,9,2,1,8,1,0,1,1,2,3,6,7,1,1,9,9,9,3,3,1,5,51,512,0,14,1,184414,666894
2013000016,1,1,2,8700,204,,66,,,,,,51,2013,1,25,1,4,5,6,9,3,1,8,1,0,1,1,0,3,3,,1,1,9,9,7,0,0,9,4,42,421,0,15,1,187834,677714
2013000017,1,1,2,8600,822,,8,,,,,,20,2013,1,29,1,4,5,3,9,3,1,9,9,0,1,1,0,3,6,,2,1,9,9,9,3,3,1,5,51,512,0,14,3,181342,665686
2013000019,1,1,2,1295,0,,9999,,,,,,12,2013,2,14,1,4,5,5,9,3,1,9,3,0,1,1,3,3,6,,1,1,9,9,9,1,2,1,2,24,243,99,28,2,223095,765031
2013000020,1,1,2,472,101,,9999,,,,,,61,2013,2,22,1,4,5,6,9,2,1,8,3,0,1,1,3,3,6,,1,1,9,9,9,1,2,1,1,11,111,99,28,3,210622,635011
2013000022,1,1,1,5000,934,829,,10100424,,,,,20,2013,2,27,1,4,5,4,1,2,1,8,1,0,1,1,3,3,6,2,1,1,9,9,9,3,4,2,5,51,511,0,13,1,180250,665671
2013000027,1,1,1,154,115,202,,140001,,,,,51,2013,3,16,1,4,5,7,0,3,1,8,0,3,1,1,1,3,6,1,1,1,9,9,9,0,0,9,4,41,411,99,17,1,192209,683905
2013000028,1,1,2,5000,2524,,27,,,,,,20,2013,3,20,1,4,5,4,9,2,1,8,1,0,1,1,2,3,6,7,1,1,9,9,9,3,3,1,5,51,511,0,13,1,180484,662544
2013000030,1,1,2,7900,444,,12,,,,,,51,2013,3,31,1,2,5,1,9,3,1,8,3,0,1,1,2,3,6,,1,1,9,9,9,1,9,9,4,42,422,0,13,1,190722,667242
2013000031,1,1,2,4000,875,,9999,,,,,,11,2013,3,24,1,4,5,1,9,2,1,9,9,0,1,1,2,4,6,,1,1,9,9,9,3,2,2,3,31,311,0,13,3,200389,746110
2013000033,1,1,2,267,101,,56,,,,,,20,2013,4,11,1,4,5,5,9,3,1,9,3,0,1,1,1,3,6,,1,1,9,9,9,3,3,1,5,51,511,99,35,1,183115,677081
2013000034,1,1,1,8300,671,528,,20040003,,,,,52,2013,4,14,1,4,5,1,1,3,1,8,0,2,1,1,3,3,6,2,1,1,9,9,9,0,0,9,4,44,442,0,13,1,182226,650715
2013000037,1,1,2,6100,401,,1,,,,,,20,2013,4,24,1,4,5,4,9,3,1,9,0,3,1,1,3,3,6,,1,1,9,9,9,1,2,1,5,51,512,0,14,1,183327,667053
2013000038,1,1,2,296,0,,9999,,,,,,14,2013,4,24,1,4,5,4,9,3,1,8,3,0,1,1,1,3,6,7,1,1,9,9,9,0,0,9,2,23,231,7,33,2,250286,710924
2013000040,1,1,1,4000,509,520,,7560312,,,,,11,2013,5,1,1,4,5,4,9,2,1,8,3,0,1,1,0,1,6,7,1,1,9,9,9,2,1,1,3,31,311,0,13,1,198294,748053
2013000045,1,1,2,5000,4737,,2,,,,,,20,2013,5,8,1,4,5,4,9,3,1,9,3,0,1,1,2,3,6,,1,1,9,9,9,4,9,1,5,51,511,0,13,1,185239,669032
2013000046,1,1,1,7900,1107,905,,99970349,,,,,51,2013,5,9,1,4,5,5,9,3,1,8,2,0,1,1,2,3,6,,1,1,8,1,7,0,0,9,4,42,422,0,13,1,186368,666642
2013000055,1,1,2,6500,524,,10,,,,,,11,2013,5,26,1,4,5,1,9,3,1,9,3,0,1,1,2,4,10,,1,1,9,9,7,0,0,9,3,32,324,0,15,1,189636,704344
2013000059,1,1,1,6600,984,980,,11100245,,,,,20,2013,6,3,1,4,5,2,9,3,1,9,1,0,1,1,3,3,6,7,1,1,9,9,9,0,0,9,5,51,513,0,14,1,178339,656684
2013000061,1,1,1,9300,225,131,,240001,,,,,11,2013,6,5,1,4,5,4,0,3,1,9,0,3,1,1,3,3,6,6,1,1,9,9,9,3,3,1,3,32,322,99,16,1,196579,719861
2013000062,1,1,2,5000,407,,9999,,,,,,20,2013,6,8,1,4,5,7,9,3,1,9,1,0,1,1,2,3,6,,1,1,9,9,7,0,0,9,5,51,511,0,13,3,178793,667015
2013000063,1,1,2,1060,0,,9999,,,,,,34,2013,6,10,1,4,5,2,9,2,1,9,3,0,1,1,2,3,6,,1,1,9,9,9,1,2,2,6,62,623,99,27,2,187341,581458
2013000065,1,1,2,3000,4955,,23,,,,,,61,2013,7,2,1,4,5,3,9,2,1,9,0,5,1,1,3,3,6,7,1,1,9,9,9,0,0,9,1,11,111,0,12,3,220495,635328
2013000070,1,1,1,8400,316,319,,700005,,,,,52,2013,7,22,1,4,5,2,0,3,1,8,3,0,1,1,2,4,6,1,1,1,9,9,1,0,0,9,4,44,441,0,14,1,180575,644032
2013000071,1,1,1,6500,821,780,,9300009,,,,,11,2013,8,3,1,4,5,7,0,3,1,9,0,2,1,1,2,3,6,6,1,1,9,9,9,3,3,1,3,32,324,0,15,1,193445,704510
2013000072,1,1,2,5000,435,,98,,,,,,20,2013,8,13,1,4,5,3,9,3,1,9,3,0,1,1,3,3,6,2,1,1,9,9,9,3,9,1,5,51,511,0,13,1,179639,666984
2013000073,1,1,1,8500,432,417,,8270007,,,,,52,2013,8,13,1,4,5,3,1,3,1,8,0,3,1,1,5,3,3,2,1,1,9,9,9,3,3,1,4,43,432,0,15,1,186933,648209
2013000074,1,1,2,6900,526,,9999,,,,,,51,2013,8,19,1,4,5,2,9,2,1,10,0,5,1,1,5,3,6,7,1,1,9,9,6,0,0,9,4,42,421,0,15,2,192421,676578
2013000075,1,1,1,6600,942,968,,10170071,,,,,20,2013,8,19,1,4,5,2,1,2,1,9,0,3,1,1,2,3,6,2,1,1,9,9,9,3,4,9,5,51,513,0,14,1,179888,656963
2013000076,1,1,2,2650,209,,33,,,,,,20,2013,8,19,1,4,5,2,9,3,1,9,0,3,1,1,2,3,6,,1,1,9,9,9,3,3,2,5,51,511,0,16,1,184763,672083
2013000077,1,1,1,6500,606,601,,290007,,,,,11,2013,8,22,1,4,5,5,1,3,1,9,0,2,1,1,3,3,6,2,1,1,9,9,9,3,4,1,3,32,324,0,15,1,192709,705109
2013000079,1,2,2,3616,160,,21,,,,,,43,2013,8,21,1,4,5,4,9,3,1,9,3,0,1,1,3,3,6,,1,1,9,9,9,3,3,2,7,77,777,0,16,1,228474,630466
2013000081,1,1,2,6600,406,,66,,,,,,20,2013,9,9,1,4,5,2,9,3,1,8,1,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,5,51,513,0,14,1,179485,658641
2013000083,1,1,1,5000,1107,1511,,11950611,,,,,20,2013,9,15,1,4,5,1,9,3,1,8,1,0,1,1,2,3,3,7,1,1,9,9,9,3,3,9,5,51,511,0,13,1,179638,664145
2013000085,1,1,2,5000,2766,,106,,,,,,20,2013,10,3,1,4,5,5,9,3,1,9,0,3,1,1,3,3,6,2,1,1,9,9,7,0,0,9,5,51,511,0,13,1,181311,661566
2013000086,1,1,2,532,0,,9999,,,,,,14,2013,10,5,1,4,5,7,9,2,1,8,3,0,1,1,2,1,6,,1,1,9,9,7,0,0,9,2,23,237,99,27,2,233542,736026
2013000090,1,1,2,537,0,,9999,,,,,,11,2013,9,18,1,2,5,4,9,2,1,9,3,0,1,1,2,3,4,,1,1,9,9,9,0,0,9,3,32,321,99,27,2,195802,722653
2013000093,1,1,1,2650,224,253,,22130085,,,,,20,2013,10,28,1,4,5,2,0,3,1,9,9,0,1,1,0,3,6,1,1,1,9,9,6,0,0,9,5,51,511,0,16,1,185182,672090
2013000094,1,1,2,2710,0,,9999,,,,,,11,2013,10,28,1,4,5,2,9,2,1,9,9,0,1,1,2,3,6,,1,1,9,9,6,0,0,9,3,32,323,0,26,2,214488,714954
2013000095,1,1,2,9100,420,,9999,,,,,,12,2013,11,1,1,4,5,6,9,3,1,9,3,0,1,1,0,3,3,,1,2,9,9,9,0,0,9,2,24,245,0,15,3,208718,768196
2013000097,1,1,2,2610,492,,9999,,,,,,61,2013,11,10,1,4,5,1,9,1,1,8,0,3,4,1,3,3,6,,1,1,9,9,9,3,3,2,1,11,112,0,15,3,198443,624535
2013000102,1,1,1,9400,126,101,,1110001,,,,,20,2013,12,1,1,4,5,1,0,3,1,8,0,2,1,1,2,1,6,1,1,1,9,9,9,4,3,9,4,42,422,0,16,1,189901,659466
2013000103,1,1,1,6900,593,533,,12610006,,,,,51,2013,12,2,1,4,5,2,0,3,1,8,9,0,1,1,2,3,6,6,1,1,9,9,9,3,3,9,4,42,421,0,15,1,190151,675940
2013000104,1,1,2,5000,914,,9999,,,,,,20,2013,12,6,1,4,5,6,9,3,1,8,9,0,1,1,2,3,6,3,1,1,9,9,9,3,3,1,5,51,511,0,13,3,180245,666484
2013000106,1,1,3,0,,,,,4,6531,1706,375,11,2013,12,10,1,4,5,3,1,3,1,9,0,3,5,1,3,3,10,2,2,2,9,9,9,1,4,1,9,99,999,99,99,1,193559,715570
2013000107,1,1,1,6500,611,210,,7970002,,,,,11,2013,12,10,1,4,5,3,0,3,1,9,9,0,1,1,3,1,3,1,2,2,9,9,9,3,3,1,3,32,324,0,15,1,192906,705194
2013000108,1,1,1,6500,602,604,,60007,,,,,11,2013,12,12,1,4,5,5,1,3,1,9,0,3,1,1,3,3,5,2,2,2,9,9,9,4,4,9,3,32,324,0,15,1,192131,704919
2013000109,1,1,2,6600,529,,100,,,,,,20,2013,12,20,1,4,5,6,9,3,1,9,3,0,1,1,2,1,6,,1,1,9,9,9,3,3,1,5,51,513,0,14,1,178323,659871
2013000110,1,1,1,5000,753,1103,,8680345,,,,,20,2013,12,23,1,4,5,2,9,2,1,9,0,3,1,1,3,2,6,3,1,1,9,9,9,3,1,2,5,51,511,0,13,1,179316,664395
2013000112,1,1,2,509,0,,9999,,,,,,14,2013,12,17,1,4,5,3,9,2,1,9,9,0,0,0,0,5,6,,9,9,9,9,7,0,0,9,2,23,237,99,26,2,232542,739984
2013000115,1,1,2,6600,514,,9999,,,,,,20,2013,12,30,1,4,5,2,9,3,2,8,0,2,1,1,2,3,3,5,2,2,9,9,9,0,0,9,5,51,513,0,14,3,177642,660458
2013000117,1,1,2,1161,0,,9999,,,,,,34,2013,12,26,1,4,5,5,9,3,2,9,3,0,1,1,3,5,3,,1,1,9,9,9,0,0,9,6,62,623,0,25,2,176990,588458
2013000121,1,2,2,3098,0,,9999,,,,,,41,2013,12,24,1,4,5,3,9,2,2,9,9,0,1,1,3,3,6,,1,1,9,9,9,0,0,9,7,77,777,,49,2,208987,708987
2013000122,1,1,3,0,,,,,85,804,280,9326,12,2013,12,24,1,4,5,3,1,3,2,8,0,3,4,1,4,3,6,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,234804,759744
2013000124,1,1,1,6500,107,104,,9800012,,,,,11,2013,12,18,1,4,5,4,0,2,2,9,0,3,1,1,2,3,6,7,1,1,9,9,9,0,0,9,3,32,324,0,15,1,193658,705071
2013000125,1,1,3,0,,,,,4,0,1749,379,11,2013,12,10,1,4,5,3,1,2,2,9,0,3,5,1,3,3,3,2,2,1,9,9,9,0,0,9,9,99,999,99,99,1,194405,719752
2013000126,1,1,2,7500,0,,9999,,,,,,12,2013,12,13,1,4,5,6,9,3,2,9,0,3,1,0,3,3,6,,2,2,9,9,9,0,0,9,2,24,241,0,26,2,229359,752186
2013000129,1,1,1,6500,603,606,,310007,,,,,11,2013,11,25,1,4,5,2,1,3,2,9,0,2,1,1,3,3,6,2,1,1,9,9,9,0,0,9,3,32,324,0,15,1,192534,705166
2013000131,1,1,2,2650,221,,10,,,,,,20,2013,11,21,1,4,5,5,9,3,2,8,1,0,1,1,2,3,6,,1,1,9,9,9,0,0,9,5,51,511,0,16,1,185220,671708
2013000132,1,1,4,0,,,,,65,0,300,,11,2013,11,19,1,4,5,3,9,2,2,9,0,2,5,1,3,3,6,5,1,1,9,9,9,0,0,9,9,99,999,99,99,1,215490,717068
2013000133,1,1,1,7800,557,508,,8700005,,,,,11,2013,11,19,1,4,5,3,0,3,2,9,3,0,1,1,3,3,6,5,1,1,9,9,9,0,0,9,3,32,324,99,16,1,199993,708920
2013000134,1,1,3,0,,,,,35,40,159,577,38,2013,11,11,1,4,5,2,1,3,2,9,9,0,5,1,3,1,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,177055,614921
2013000136,1,1,2,70,257,,12,,,,,,38,2013,11,11,1,4,5,2,9,3,2,9,1,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,6,61,613,0,13,1,166343,634271
2013000137,1,1,2,5000,2731,,54,,,,,,20,2013,11,11,1,4,5,2,9,3,2,8,0,1,1,1,2,3,6,6,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180524,661918
2013000138,1,1,2,7800,503,,48,,,,,,11,2013,11,4,1,4,5,2,9,3,2,8,3,0,1,1,3,3,10,,1,1,9,9,9,0,0,9,3,32,324,99,16,1,199341,708850
