pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2009000007,1,1,2,2660,212,,14,,,,,,52,2009,2,6,1,4,5,6,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,0,16,1,176203,642358
2009000009,1,1,2,8300,167,,9999,,,,,,52,2009,3,8,1,4,5,1,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,442,0,10,3,178698,653033
2009000010,1,1,1,2660,170,184,,8050047,,,,,52,2009,3,10,1,1,5,3,9,3,1,9,9,0,1,0,1,3,6,7,1,1,9,9,9,3,3,1,4,44,441,0,16,1,176029,642795
2009000021,1,1,1,7400,418,139,,7960012,,,,,51,2009,4,3,1,4,5,6,1,3,1,9,1,0,1,0,0,3,6,2,1,1,9,9,9,3,3,1,4,41,411,0,14,1,187165,692642
2009000024,1,1,2,8300,0,,9999,,,,,,52,2009,4,7,1,4,5,3,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,1,2,1,4,44,442,0,10,2,181599,652410
2009000025,1,1,2,8400,448,,9,,,,,,52,2009,4,10,1,3,5,6,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,0,14,1,182496,644351
2009000038,1,1,4,0,,,,,1,0,150,,52,2009,5,7,1,4,5,5,9,3,1,8,0,2,6,0,4,3,3,,1,1,9,9,9,4,9,9,9,99,999,99,99,1,191481,653582
2009000041,1,1,2,8300,209,,9999,,,,,,52,2009,6,3,1,4,5,4,9,3,1,9,0,2,1,0,2,3,6,,1,1,9,9,9,3,3,1,4,44,442,0,10,3,180532,652812
2009000045,1,1,2,8400,451,,9999,,,,,,52,2009,7,15,1,4,5,4,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,0,14,3,182486,644890
2009000047,1,1,1,8400,453,454,,160008,,,,,52,2009,8,5,1,4,5,4,1,3,1,9,9,0,0,0,0,5,6,2,9,9,9,9,9,3,3,2,4,44,441,0,14,1,182277,645214
2009000049,1,1,2,6900,523,,76,,,,,,51,2009,8,11,1,4,5,3,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,1,2,1,4,42,421,0,15,1,191242,675874
2009000059,1,1,2,2640,215,,9999,,,,,,51,2009,9,13,1,4,5,1,9,3,1,5,2,0,1,0,2,3,6,,1,1,9,9,9,3,3,2,4,42,422,0,16,3,195074,667268
2009000064,1,1,2,7900,224,,9999,,,,,,51,2009,10,11,1,4,5,1,9,3,1,8,1,0,1,0,2,3,6,,1,1,9,9,7,0,0,9,4,42,422,0,14,3,189179,666097
2009000069,1,1,4,0,,,,,444,0,210,,51,2009,10,29,1,4,5,5,9,2,1,8,0,3,5,0,3,3,3,,5,2,9,9,9,0,0,9,9,99,999,99,99,1,194385,666814
2009000074,1,1,2,8400,203,,1,,,,,,52,2009,11,17,1,4,5,3,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,0,14,1,179603,643924
2009000078,1,1,2,8500,707,,8,,,,,,52,2009,12,18,1,4,5,6,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,43,431,0,15,3,188294,647980
2009000079,1,1,1,7900,1006,136,,8240011,,,,,51,2009,12,21,1,4,5,2,1,2,1,8,0,3,1,0,3,3,6,2,1,1,9,9,9,3,3,2,4,42,422,0,14,1,187648,667304
2009000089,1,1,1,70,189,863,,9430312,,,,,38,2009,8,19,1,4,5,4,0,3,2,8,0,3,1,1,2,3,6,1,1,1,9,9,9,0,0,9,6,61,613,0,9,1,165926,632929
2009000090,1,1,2,8400,375,,9999,,,,,,52,2009,12,30,1,4,5,4,9,3,2,9,3,0,1,0,2,4,5,,2,2,9,9,9,0,0,9,4,44,441,0,14,3,180192,643558
2009000092,1,1,2,7400,958,,9999,,,,,,51,2009,12,23,1,4,5,4,9,3,2,8,3,0,1,0,3,3,6,,1,1,9,9,9,0,0,9,4,41,411,0,14,3,186130,689071
2009000004,1,1,2,2550,127,,9999,,,,,,52,2009,1,4,1,4,5,1,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,99,17,3,178190,635605
2009000005,1,1,2,2550,113,,9999,,,,,,52,2009,1,25,1,4,5,1,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,99,17,3,179788,636134
2009000014,1,1,2,8400,219,,9999,,,,,,52,2009,3,23,1,4,5,2,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,0,14,3,180015,643751
2009000019,1,1,2,8300,0,,9999,,,,,,52,2009,3,29,1,4,5,1,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,442,0,10,2,181599,652410
2009000020,1,1,1,7200,185,187,,17810052,,,,,52,2009,3,31,1,4,5,3,1,3,1,8,3,0,1,0,4,3,6,2,1,1,9,9,9,1,1,1,4,44,442,0,16,1,182367,648094
2009000034,1,1,1,8300,307,312,,8510024,,,,,52,2009,4,27,1,4,5,2,9,3,1,9,9,0,0,0,0,5,6,7,9,9,9,9,9,3,3,1,4,44,442,0,10,1,181489,652595
2009000046,1,1,2,7000,,,9999,,,,,,52,2009,7,23,1,4,5,5,9,3,1,9,9,0,1,0,0,5,6,,1,1,9,9,9,1,2,1,4,43,431,0,15,2,190316,650607
2009000052,1,1,2,8300,1380,,9999,,,,,,52,2009,8,13,1,4,5,5,9,3,1,9,9,0,0,0,1,5,6,,1,1,9,9,9,0,0,9,4,44,442,0,10,2,181602,652400
2009000056,1,1,2,2550,113,,9999,,,,,,52,2009,9,8,1,4,5,3,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,99,17,3,179788,636134
2009000066,1,1,2,7900,178,,39,,,,,,51,2009,10,20,1,4,5,3,9,3,1,8,3,0,1,0,2,3,6,,1,1,9,9,7,0,0,9,4,42,422,0,14,1,188135,667617
2009000101,1,1,1,7900,424,,,,,,,,51,2009,11,24,1,4,5,3,1,3,2,8,0,3,1,0,5,3,6,2,1,1,9,9,9,0,0,9,4,42,422,0,14,3,190937,665521
2009000125,1,1,1,206,102,103,,10001,,,,,51,2009,8,27,1,4,5,5,0,3,2,8,3,0,1,0,2,3,6,5,1,1,9,9,9,0,0,9,4,42,421,20,35,1,189923,674948
2009000127,1,1,2,2640,250,,9999,,,,,,51,2009,8,5,1,4,5,4,9,3,2,8,0,3,1,0,1,3,6,,1,1,9,9,9,0,0,9,4,42,422,0,16,3,196692,667387
2009000130,1,1,1,7400,996,1094,,10570001,,,,,51,2009,7,31,1,4,5,6,9,3,2,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,4,41,411,0,14,1,185715,690229
2009000135,1,1,1,8400,260,226,,7900005,,,,,52,2009,7,16,1,4,5,5,1,3,2,8,9,0,2,0,3,1,3,2,1,1,9,9,9,0,0,9,4,44,441,0,14,1,180330,644565
2009000136,1,1,1,8300,324,319,,1300007,,,,,52,2009,7,17,1,4,5,6,0,3,2,8,3,0,1,0,2,3,4,5,1,1,9,9,9,0,0,9,4,44,442,0,10,1,181266,652919
2009000137,1,1,1,8300,295,925,,18240010,,,,,52,2009,6,24,1,4,5,4,9,3,2,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,4,44,442,0,10,1,180353,653920
2009000143,1,1,2,8300,0,,9999,,,,,,52,2009,6,4,1,4,5,5,9,3,2,9,9,0,1,0,0,5,3,,1,1,9,9,9,0,0,9,4,44,442,0,10,2,181599,652410
2009000145,1,1,1,8300,904,902,,18030314,,,,,52,2009,6,7,1,4,5,1,0,3,2,8,3,0,1,0,3,3,6,5,1,1,9,9,9,0,0,9,4,44,442,0,10,1,176635,655631
