pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2008000009,1,1,1,8400,416,485,,17660007,,,,,52,2008,7,20,1,4,5,1,9,3,1,8,3,0,1,0,2,3,6,7,1,1,9,9,9,3,3,2,4,44,441,0,14,1,182131,644656
2008000016,1,1,2,8300,528,,2,,,,,,52,2008,11,10,1,4,5,2,9,1,1,8,3,0,1,0,4,3,3,,1,1,9,9,9,1,2,2,4,44,442,0,10,1,183180,652071
2008000026,1,1,2,7000,319,,52,,,,,,52,2008,11,21,1,4,5,6,9,2,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,43,431,0,15,1,190730,651577
2008000029,1,1,1,8400,403,116,,290004,,,,,52,2008,11,19,1,4,5,4,0,3,2,9,9,0,0,0,0,5,6,1,9,9,9,9,9,0,0,9,4,44,441,0,14,1,182769,643441
2008000041,1,1,1,8300,307,271,,19010136,,,,,52,2008,9,22,1,4,5,2,1,3,2,8,0,3,1,0,3,3,3,2,1,1,9,9,9,0,0,9,4,44,442,0,10,1,181466,651295
2008000042,1,1,1,8300,195,194,,19720322,,,,,52,2008,8,24,1,4,5,1,1,3,2,9,0,1,2,0,3,3,3,2,1,1,9,9,9,0,0,9,4,44,442,0,10,1,177720,653794
2008000049,1,1,2,610,118,,9999,,,,,,52,2008,6,19,1,4,5,5,9,3,2,8,3,0,1,0,2,5,6,,1,1,9,9,9,0,0,9,4,43,431,30,31,3,185182,644256
2008000053,1,1,4,0,,,,,443,0,20,,52,2008,5,25,1,4,5,1,9,1,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,191682,651548
2008000054,1,1,2,1200,100,,9999,,,,,,52,2008,5,28,1,4,5,4,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,43,431,0,15,3,201846,645148
2008000057,1,1,1,8300,437,435,,19840111,,,,,52,2008,5,4,1,4,5,1,0,3,2,8,0,2,2,0,0,5,6,1,1,1,9,9,9,0,0,9,4,44,442,0,10,1,182602,654473
2008000060,1,1,4,0,,,,,717,0,45,,14,2008,6,10,1,4,5,3,9,3,2,8,3,0,4,1,2,3,5,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,239005,721037
2008000078,1,1,1,8300,925,963,,18540315,,,,,52,2008,5,8,1,1,5,5,1,2,3,7,0,2,2,0,4,5,3,2,1,1,9,9,9,0,0,9,4,44,442,0,10,1,178568,654428
2008000102,1,1,4,0,,,,,40,0,2750,,52,2008,11,14,1,4,5,6,9,2,3,9,0,2,5,0,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,3,181406,506183
2008000131,1,1,1,8300,659,660,,18730003,,,,,52,2008,4,20,1,1,5,1,9,3,4,8,3,0,1,0,3,5,6,7,1,1,9,9,9,0,0,9,4,44,442,0,10,1,182504,651424
2008000142,1,1,4,0,,,,,6,0,1280,,52,2008,10,15,1,3,5,4,9,3,8,8,0,2,7,0,3,3,6,,1,1,6,2,9,0,0,9,9,99,999,99,99,3,196471,653638
2008000147,1,1,4,0,,,,,412,0,100,,52,2008,4,12,1,4,5,7,9,3,8,8,0,3,2,0,2,5,3,,1,1,1,2,9,0,0,9,9,99,999,99,99,1,181498,652503
2008000211,1,1,1,7800,266,221,,08270003,,,,,11,2008,2,26,1,4,5,3,0,3,8,8,0,3,1,1,2,3,3,6,1,1,3,4,9,0,0,9,3,32,324,99,16,1,196365,708666
2008000240,1,1,2,5000,1143,,9999,,,,,,20,2008,6,4,1,4,5,4,9,3,1,8,0,3,1,1,3,3,3,,1,1,9,9,9,1,2,1,5,51,511,0,12,3,177777,663964
2008000242,1,1,4,0,,,,,71,0,377,,14,2008,5,29,1,4,5,5,9,2,1,8,2,0,4,1,2,3,5,,1,1,9,9,6,0,0,9,9,99,999,99,99,1,245132,714452
2008000248,1,1,1,8300,167,1201,,20390632,,,,,52,2008,3,9,1,4,5,1,0,3,2,8,0,3,1,1,5,3,3,7,1,1,9,9,9,0,0,9,4,44,442,0,10,1,178473,652659
2008000014,1,1,1,8400,351,435,,17690052,,,,,52,2008,9,24,1,4,5,4,1,2,1,8,0,2,1,0,3,3,6,2,1,1,9,9,9,3,4,1,4,44,441,0,14,1,181689,644502
2008000036,1,1,4,0,,,,,411,0,140,,52,2008,9,26,1,4,5,6,9,3,2,9,3,0,4,0,3,3,6,,2,2,9,9,9,0,0,9,9,99,999,99,99,1,185115,638960
2008000039,1,1,2,2530,104,,9999,,,,,,52,2008,9,17,1,4,5,4,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,43,431,99,18,3,185597,651126
2008000043,1,1,4,0,,,,,4311,0,60,,52,2008,7,28,1,4,5,2,9,2,2,8,3,0,4,0,3,1,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,174066,649176
2008000044,1,1,4,0,,,,,6,0,1240,,52,2008,8,3,1,4,5,1,9,1,2,8,0,2,7,0,3,3,10,,1,1,9,9,9,0,0,9,9,99,999,99,99,3,196471,653638
2008000045,1,1,2,801,107,,9999,,,,,,52,2008,7,17,1,4,5,5,9,3,2,8,0,3,4,0,0,3,6,,1,1,9,9,9,0,0,9,4,43,431,40,31,3,185184,657882
2008000048,1,1,1,8400,401,409,,50006,,,,,52,2008,6,19,1,4,5,5,0,3,2,9,1,0,1,0,0,5,6,5,1,1,9,9,9,0,0,9,4,44,441,0,14,1,181897,645489
2008000058,1,1,2,8300,447,,9999,,,,,,52,2008,5,4,1,4,5,1,9,2,2,8,3,0,1,0,2,5,6,,1,1,9,9,9,0,0,9,4,44,442,0,10,3,178354,655491
2008000059,1,1,1,8300,294,201,,20080010,,,,,52,2008,5,7,1,2,5,4,1,3,2,8,0,3,1,0,5,3,6,2,1,1,9,9,9,0,0,9,4,44,442,0,10,1,180944,653511
