pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2011000007,1,1,1,7900,226,228,,10450041,,,,,51,2011,1,12,1,4,5,4,1,3,1,8,0,3,1,0,3,3,6,2,1,1,9,9,9,0,0,9,4,42,422,0,14,1,189661,665948
2011000009,1,1,1,6900,340,313,,380007,,,,,51,2011,1,17,1,4,5,2,9,3,1,5,3,0,1,0,2,3,6,,1,1,9,9,9,3,3,9,4,42,421,0,15,1,191041,676131
2011000020,1,1,2,8300,961,,21,,,,,,52,2011,2,17,1,4,5,5,9,3,1,8,9,0,1,0,5,5,6,,1,1,9,9,9,2,2,2,4,44,442,0,10,3,178720,655060
2011000026,1,1,2,2660,172,,9999,,,,,,52,2011,3,5,1,4,5,7,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,7,0,0,9,4,44,441,0,16,3,176395,642569
2011000027,1,1,1,2640,142,133,,580003,,,,,51,2011,3,3,1,4,5,5,9,3,1,8,0,3,1,0,2,3,3,,1,1,9,9,9,3,3,1,4,42,422,0,16,1,194833,667059
2011000028,1,1,1,7300,504,761,,91980252,,,,,14,2011,1,24,1,4,5,2,9,2,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,3,1,1,2,23,237,0,25,1,228214,733597
2011000029,1,1,2,1309,,,9999,,,,,,51,2011,3,7,1,4,5,2,9,3,1,9,9,0,1,0,2,5,6,7,1,1,9,9,9,0,0,9,4,42,422,0,16,2,196031,661896
2011000030,1,1,1,7400,532,,,,,,,,51,2011,3,8,1,4,5,3,1,3,1,9,3,0,1,0,3,3,6,2,1,2,9,9,9,0,0,9,4,41,411,0,14,3,186593,691785
2011000031,1,2,2,3654,108,,9999,,,,,,41,2011,3,8,1,4,5,3,9,2,1,9,9,0,1,0,0,4,6,,1,1,9,9,9,0,0,9,7,77,777,72,37,2,210321,668486
2011000034,1,1,1,8400,403,724,,8410010,,,,,52,2011,3,18,1,4,5,6,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,0,14,1,182554,643801
2011000036,1,1,1,8200,104,210,,12340005,,,,,11,2011,4,1,1,4,5,6,9,3,1,8,0,2,1,0,1,3,6,7,1,1,9,9,9,3,3,1,3,31,311,0,16,1,207381,747948
