pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2014033707,1,1,1,5000,2309,2371,,14590825,,,,,20,2015,2,11,40,4,1,4,1,2,2,8,0,3,1,1,4,3,1,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178749,661890
2014062897,1,1,1,5000,2639,,,,,,,,20,2015,1,1,17,4,5,5,1,3,12,8,3,0,1,1,2,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,3,180363,663052
2014099805,1,1,2,5000,1037,,7,,,,,,20,2015,2,3,82,4,5,3,9,3,1,8,1,0,1,1,3,3,3,6,1,1,9,9,9,4,3,9,5,51,511,0,13,1,179638,664776
2015000000,1,1,4,0,,,,,,,,,51,2015,10,18,36,4,1,1,9,3,2,9,0,2,5,1,3,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,9,,
2015000022,1,1,2,8300,6003,,9999,,,,,,52,2015,6,18,73,4,1,5,9,3,4,9,0,3,1,1,2,3,1,,1,1,9,9,9,0,0,9,4,44,442,0,13,3,181911,654345
2015000035,1,1,1,9000,102,101,,150021,,,,,34,2015,7,7,29,4,1,3,1,1,1,8,3,0,2,1,3,3,1,2,1,1,9,9,9,1,1,2,6,62,623,0,13,1,182702,573212
2015000038,1,1,2,9100,409,,6,,,,,,11,2015,10,4,73,2,1,1,9,3,2,8,3,0,1,0,3,3,11,,2,1,9,9,9,0,0,9,2,24,245,0,15,1,209442,767375
2015000043,1,1,2,7300,118,,9999,,,,,,14,2015,6,2,78,4,1,3,9,3,17,9,3,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,2,23,237,0,25,3,229012,734812
2015000046,1,1,1,5000,2524,2648,,15250925,,,,,20,2015,9,11,41,4,1,6,9,3,2,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,511,0,13,1,180505,662961
2015000050,1,1,2,6100,228,,54,,,,,,20,2015,8,4,61,4,1,3,9,3,1,8,3,0,1,1,3,3,1,7,1,1,9,9,9,3,3,1,5,51,512,0,14,1,184626,666437
2015000052,1,1,2,3000,929,,9999,,,,,,61,2015,6,9,72,4,1,3,9,2,15,9,0,4,1,1,2,3,1,7,5,1,9,9,9,0,0,9,1,11,111,0,12,3,217977,633071
2015000053,1,1,2,1061,159,,4,,,,,,14,2015,8,19,34,4,1,4,9,3,2,9,0,3,1,1,4,3,1,6,1,1,9,9,9,0,0,9,2,23,237,0,16,1,229738,733830
2015000058,1,1,1,5000,1620,2033,,80150680,,,,,20,2015,3,13,81,4,5,6,9,3,5,9,0,3,1,1,3,3,3,,1,1,9,9,9,0,0,9,5,51,511,0,13,1,176616,659843
2015000066,1,1,4,0,,,,,7276,0,26,,14,2015,10,1,4,3,5,5,9,2,10,4,2,0,4,1,3,3,5,,1,1,2,5,9,0,0,9,9,99,999,99,99,1,240515,729486
2015000069,1,1,1,5000,2731,2737,,22300933,,,,,20,2015,4,6,61,3,1,2,0,2,2,8,3,0,1,1,3,3,1,5,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180532,661903
2015000070,1,1,4,0,,,,,754,0,596,,14,2015,11,2,73,4,5,2,9,3,2,8,3,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,232029,739434
2015000075,1,1,1,5000,1511,2562,,11920611,,,,,20,2015,4,26,13,4,5,1,1,3,11,9,0,2,1,1,4,3,6,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179727,663713
2015000087,1,1,3,0,,,,,471,0,35,9175,20,2015,11,17,31,4,1,3,9,2,3,8,0,2,4,1,3,4,1,7,2,2,9,9,9,0,0,9,9,99,999,99,99,1,186942,664034
2015000089,1,1,1,5000,924,934,,9100426,,,,,20,2015,5,7,35,4,1,5,0,3,2,9,0,3,1,1,3,3,1,5,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179695,665819
2015000092,1,1,3,0,,,,,2,541,240,58,20,2015,12,20,1,4,5,1,1,3,1,9,0,2,1,1,4,3,6,2,1,1,9,9,9,3,3,2,9,99,999,99,99,1,182364,674176
2015000093,1,1,2,6500,606,,9999,,,,,,11,2015,2,23,49,4,1,2,9,2,1,9,1,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,3,32,324,0,15,3,192605,705143
2015000100,1,1,4,0,,,,,2,0,230,,20,2015,3,9,1,4,5,2,9,3,3,8,1,0,6,1,4,3,6,7,1,1,9,9,9,0,0,9,9,99,999,99,99,1,181792,673137
2015000101,1,1,4,0,,,,,40,0,2450,,38,2015,3,29,23,4,5,1,9,1,1,9,1,0,5,1,3,3,6,,1,1,9,9,9,1,2,1,9,99,999,99,99,1,177877,627825
2015000113,1,1,4,0,,,,,2,0,430,,51,2015,7,27,63,4,1,2,9,3,3,9,0,2,5,1,3,3,1,7,1,1,9,9,9,0,0,9,9,99,999,99,99,1,187600,691693
2015000117,1,1,1,8300,195,120,,19000323,,,,,52,2015,11,19,94,4,5,5,0,3,2,8,0,4,1,1,3,3,3,1,1,1,9,9,9,0,0,9,4,44,442,0,13,1,179199,652891
2015000123,1,1,2,502,0,,9999,,,,,,11,2015,2,12,90,4,5,5,9,3,2,8,0,3,2,1,3,3,3,,2,2,9,9,9,0,0,9,2,24,243,99,27,2,219732,762142
