keta,road,X,Y
2,886,245823,766266
20,886,251687,779984
10,899,211483,775583
16,899,215046,775159
20,899,225288,775690
30,899,239245,771727
36,899,247651,777522
40,899,253471,780694
30,918,261188,789221
10,977,255508,785644
10,2200,138758,568832
10,2211,135957,570437
10,2310,143224,574000
10,2357,176204,572369
10,2410,146256,580645
10,2414,162293,581378
10,2422,158098,595523
10,2444,162233,591477
10,2499,232686,544841
10,2544,165149,585426
10,2932,166873,595701
10,3199,193695,620300
10,3403,177329,609048
10,3411,159222,612463
10,3412,162258,617953
10,3413,172134,613654
10,3415,184664,610336
10,3500,165557,620765
10,3533,177375,617807
10,3544,194248,620001
10,3553,178644,619427
10,3613,173661,623589
10,3631,165666,626118
10,3703,175005,626712
10,3711,168239,628955
10,3712,169836,626768
10,3811,175092,633829
10,3835,198397,629336
10,3855,200049,628863
20,3855,200194,627981
10,3866,200355,628687
10,3877,215184,629351
10,3922,177538,634043
20,3922,175111,633698
10,3955,207250,633771
10,3965,212646,631848
10,3975,211816,634250
10,3985,214757,633471
10,4000,174620,636329
10,4101,175071,637144
10,4102,174768,636600
10,4103,179872,638084
10,4111,176230,642976
10,4233,184805,643491
10,4243,189665,641082
10,4303,180148,647770
10,4304,187486,647093
10,4311,178674,650715
10,4313,182990,649939
20,4313,186187,651000
10,4314,194059,649409
10,4402,184870,654242
10,4404,188650,654417
10,4503,191081,655289
20,4612,185329,663553
10,4613,193426,658284
10,4622,187536,660906
10,4623,191815,661666
10,5050,199629,669690
10,5112,192282,671614
10,5443,194431,675817
10,5503,192841,678356
10,5504,195631,677432
10,5511,188520,680861
10,5522,193178,685217
10,5531,193460,685222
10,5532,193662,685425
10,5533,199485,683113
10,5611,188201,687941
10,5613,191383,690072
18,5613,196200,691103
10,5614,198683,690674
10,5700,189804,692312
10,5702,190689,692272
10,5704,199088,691085
10,5711,192122,694490
10,5714,200130,691031
10,5803,199528,698481
10,5923,202613,704721
10,6353,202201,708594
10,6400,230749,736828
10,6403,201906,706464
10,6502,199476,708165
10,6511,192005,712340
10,6513,206828,711680
10,6522,200568,713237
10,6533,199540,715929
10,6666,241743,713003
10,6667,244055,711702
10,6678,247266,709298
10,6688,252327,711175
10,6714,223663,719961
10,6724,224740,719187
10,6734,229210,717610
10,6954,209258,723525
10,7011,195326,723736
10,7021,196786,727260
10,7078,246832,713092
10,7079,249011,711137
10,7107,237349,717800
10,7110,195454,734994
10,7111,197752,734182
10,7155,230130,723536
10,7212,205181,741009
10,7213,209803,736420
6,7255,226790,723307
10,7255,222520,729970
10,7266,237093,729789
10,7276,239177,731306
10,7513,213760,735443
10,7555,221781,733031
10,7579,254789,732666
10,7589,256105,732410
10,7626,219869,734106
10,7677,251144,738121
10,7703,210489,744661
10,7707,230766,737844
10,7717,245469,745286
10,7926,225998,737666
10,8077,250027,752473
10,8177,252232,754808
10,8277,251749,756646
10,8611,209416,764804
10,8677,252173,763897
10,8900,245655,765913
10,8911,218263,771415
10,8933,227042,775681
10,8944,230800,769729
12,8966,244240,773448
10,9778,257267,786958
2,9779,256533,788623
10,9779,258601,787289
10,9888,257083,790341
