center,X,Y
0,217413,755200
0,162947,620275
0,200217,631003
0,187120,650113
0,191129,670780
0,195911,705903
0,194838,661946
0,179514,637967
0,208247,728355
0,185363,657799
0,227190,758851
0,221272,739142
0,170417,634415
0,217895,641596
0,212380,748569
1,189906,684530
1,195336,668935
1,182759,655889
1,183428,574028
1,191069,652330
1,181529,640434
1,223525,741241
1,193919,675650
1,191274,692676
1,202796,709709
1,178161,628162
1,210447,730680
1,238378,742176
1,195594,665441
1,230660,759326
1,210131,741471
1,184431,660511
1,162755,619281
1,190889,665803
1,210881,731252
1,179782,580458
1,227685,728780
1,218466,719908
1,184750,653951
1,190047,685204
1,182666,661282
1,190908,692241
1,181170,647275
1,190845,670875
1,197460,667679
1,211918,757967
1,194687,663986
1,208856,762053
1,202895,645372
1,205936,741219
1,198423,638214
1,190670,667974
1,207738,740349
1,181281,649997
1,187968,692366
1,199521,648412
1,179411,650172
1,165780,626364
1,184463,643888
1,191415,651172
1,191129,670327
1,193645,647061
1,187331,697092
