x,y,trafiic_signal
221377,632359,1
180179,665076,1
176088,641838,1
181189,649356,1
183235,656521,1
182092,654253,1
181833,653330,1
181494,652392,1
181344,650570,1
178505,663978,1
181958,575571,1
179715,664539,1
179699,664778,1
185616,687796,1
185619,689684,1
253668,781229,1
253775,772371,1
181409,668959,1
180584,668883,1
181062,668926,1
181427,669495,1
181501,669858,1
179415,666202,1
179142,665385,1
236206,717852,1
178768,666735,1
178847,666987,1
178866,667065,1
179015,667026,1
179427,663273,1
179845,663301,1
179829,663233,1
181185,663512,1
181592,663400,1
180458,662366,1
181276,662300,1
181168,661590,1
182501,661324,1
181865,662653,1
179175,665962,1
178966,665426,1
178917,665233,1
181996,674424,1
182251,674262,1
178750,666679,1
178954,666899,1
179217,666605,1
188853,659439,1
185568,664757,1
185293,664854,1
180518,665603,1
187605,692434,1
187000,693862,1
187164,692641,1
186647,693547,1
186712,693535,1
186954,693519,1
181508,666233,1
182727,666211,1
183184,666372,1
181698,665873,1
181848,666099,1
180377,664536,1
209629,767843,1
209336,767920,1
209020,767982,1
186215,692965,1
187125,692489,1
187214,692917,1
209265,766004,1
189134,691807,1
186812,685643,1
190832,690125,1
185604,687850,1
185410,688248,1
186403,687711,1
186500,688081,1
191734,704505,1
192258,704869,1
192356,705222,1
192938,704648,1
192696,705096,1
192296,704366,1
192811,704194,1
185722,687644,1
194522,666642,1
194817,666336,1
191170,664887,1
191054,664944,1
195768,659063,1
193214,658174,1
194795,662180,1
221529,633008,1
195080,676278,1
218927,632649,1
218736,633146,1
218975,632924,1
219065,632942,1
166598,632789,1
166035,633109,1
166279,632240,1
168082,634946,1
168182,635073,1
165761,632657,1
162381,618635,1
162232,618718,1
159608,618945,1
187448,684702,1
171752,636107,1
186282,674985,1
185119,674916,1
184933,674821,1
185886,674640,1
185889,674904,1
186507,690596,1
199098,743222,1
199037,743337,1
199573,743707,1
201656,743175,1
181960,646811,1
209249,765906,1
209254,767506,1
200243,747176,1
200752,745515,1
200020,746402,1
200203,745578,1
200082,746199,1
200119,746258,1
200058,746471,1
200205,746280,1
200598,745756,1
200660,745652,1
200516,745707,1
199864,745074,1
196229,747495,1
198901,747136,1
199086,745473,1
199152,745588,1
202888,743870,1
206847,749818,1
209140,751474,1
209698,768179,1
193156,704595,1
193037,704987,1
191904,704464,1
190295,705836,1
191483,706822,1
202371,646772,1
169239,632409,1
186934,686862,1
200689,687341,1
184596,671691,1
190471,655231,1
191304,655176,1
186216,687323,1
186394,689463,1
187275,662977,1
193667,713737,1
184780,657343,1
187503,660034,1
218381,628528,1
193252,704553,1
187268,692570,1
195740,657135,1
192198,654634,1
194201,654526,1
189940,650420,1
190112,650253,1
189673,650072,1
182228,650712,1
181400,650929,1
183594,652662,1
181496,652159,1
182787,652939,1
181126,653632,1
175261,655915,1
175761,655728,1
166034,631816,1
179149,663778,1
207633,758832,1
193372,704325,1
191439,705073,1
198792,748163,1
199270,747891,1
196578,679376,1
196767,679338,1
196150,675359,1
200710,646208,1
201040,645122,1
202260,646702,1
181711,664726,1
187192,663154,1
187364,662569,1
180832,666492,1
180750,665555,1
181213,652370,1
181289,652053,1
181109,651339,1
180300,651463,1
181452,651291,1
180365,651729,1
178857,654246,1
185505,666637,1
179268,654125,1
180592,663819,1
181471,652057,1
179702,652693,1
182749,657435,1
183173,656449,1
181874,653443,1
180945,653506,1
181170,652725,1
186256,662277,1
198342,748321,1
177617,658089,1
177685,658076,1
177396,658137,1
181063,653186,1
183918,667521,1
178571,654423,1
177769,654856,1
178134,655602,1
177936,655197,1
178137,655877,1
178451,655418,1
178570,655359,1
178948,655172,1
178744,654790,1
178218,655542,1
178245,655065,1
177891,655108,1
184185,660556,1
180438,653909,1
180342,653907,1
179645,653773,1
178251,654589,1
177704,653771,1
176982,654163,1
183972,667344,1
182559,655618,1
184973,668827,1
184132,668232,1
181276,665393,1
181284,665809,1
181250,664231,1
181197,652559,1
181479,652591,1
217431,629292,1
221501,630497,1
221002,626493,1
222447,633615,1
177787,664031,1
178227,664479,1
181420,651835,1
181625,646673,1
187096,647074,1
187233,647196,1
182668,674176,1
196469,668182,1
197216,667533,1
194503,669040,1
194602,669234,1
194562,669448,1
194296,663904,1
193860,663886,1
194109,651462,1
193920,651486,1
182151,674862,1
178593,663384,1
178641,663238,1
178439,663287,1
194397,651264,1
189509,645448,1
216917,641988,1
181642,652957,1
181474,652690,1
181567,652867,1
181149,652898,1
181222,652280,1
190621,635372,1
176017,659748,1
175940,659760,1
175866,659353,1
176681,660176,1
176502,659665,1
176518,660559,1
177036,660614,1
177427,660497,1
177397,660383,1
177590,660680,1
177342,660425,1
176984,660469,1
178030,660406,1
189387,645096,1
176333,660339,1
179246,660614,1
179113,660437,1
177360,661895,1
177468,661919,1
177961,662468,1
177709,661299,1
178050,661163,1
178349,660288,1
182203,654557,1
182596,654461,1
183395,653229,1
182288,653726,1
183772,652818,1
185039,653517,1
183333,652303,1
181961,653803,1
182406,654513,1
182183,653190,1
182246,652181,1
184999,666638,1
185138,665424,1
185010,665892,1
176349,642271,1
176479,642202,1
176611,641894,1
181967,640934,1
199914,742602,1
175860,658904,1
176092,658501,1
175738,657641,1
175459,657667,1
175847,658045,1
175674,657226,1
176296,656830,1
177010,656614,1
177363,656545,1
175814,658006,1
185291,673797,1
185295,673409,1
187451,649516,1
183218,652132,1
182849,652241,1
176068,659362,1
