x,y, numdogs 
209552.6326,618491.6271,49
200582.5955,722918.6258,156
213374.6999,759652.9886,229
217247.3271,760702.7561,207
191932.2477,715881.5537,27
242119.8848,769737.7139,119
203561.591,700608.3153,13
190951.9081,699717.6063,21
195453.7738,689305.7921,187
177965.2724,643567.9311,383
149065.5261,569016.2065,33
161686.4619,601970.9709,110
235300.9235,719143.1458,81
226211.4812,639676.0742,285
196079.5179,729838.3847,166
215126.8761,639483.3858,106
177027.1579,585037.3449,90
241353.0564,742259.484,238
223273.8317,736324.2186,307
181272.5998,641718.5331,302
192809.1103,667311.5977,103
215340.4011,641077.3407,623
188669.0234,675076.5036,110
193934.3928,700646.1951,163
193761.9674,699787.1589,127
264144.941,744973.1065,175
208799.0379,632665.7595,192
195117.6713,619794.8492,187
194087.4768,659789.152,155
204163.8494,717076.7304,145
218886.8683,717897.3593,56
186075.0373,664914.1637,1004
195496.2244,631415.6426,26
188629.9261,696019.4889,66
169744.0121,626779.7255,120
182247.9274,664184.7933,4310
163246.3208,611224.5291,59
220180.9381,731178.9668,110
258282.24,769257.4873,54
223284.2047,718293.713,39
234011.3212,717184.3529,53
179217.7094,635457.1174,2299
260684.867,780918.1215,65
222343.6968,773588.9194,59
223674.6198,773860.1926,41
242203.0224,727072.975,110
192589.1523,642643.5638,71
162401.5886,615222.1905,171
181187.7809,644051.4592,49
194284.1836,634725.9559,35
222412.2221,756538.2294,169
167013.022,581818.3957,169
249346.5395,750414.8158,89
224514.7193,729928.759,71
191979.3488,652283.0239,239
223746.4185,763574.7692,55
237687.3368,667649.2883,27
185630.0714,615712.754,74
242221.2234,656274.3026,31
184204.3297,673863.4292,53
207410.5737,718087.2463,67
194516.0053,648383.5442,85
171776.9791,634693.6996,99
200361.2056,707685.465,157
191305.8825,677992.5545,132
199621.3205,695180.9034,215
173197.8992,633415.377,2532
231645.8013,714817.1522,523
177315.6832,650257.0131,82
181022.9149,642884.4357,54
195621.3311,706413.418,165
183949.3525,658364.6917,139
190890.5711,691941.4028,159
186291.3136,642956.8267,75
180440.1643,632907.9784,25
185357.1261,640720.5462,142
190962.3878,673110.2989,80
188390.2327,663143.6488,1242
183774.3219,681773.5957,79
220420.3955,767903.9805,61
188566.9384,627629.2154,25
206083.3875,427809.8487,50
267329.1705,747316.2542,81
252023.6148,725082.7014,38
210732.2189,771685.137,208
180509.4906,615062.9735,89
188827.478,663956.6817,96
205114.7589,733223.1475,716
225102.6812,717593.6474,78
183323.5516,591204.2188,72
233094.7152,728120.8319,49
254186.343,734852.5077,69
254252.0643,734006.2181,91
238607.7661,773207.0525,16
212712.0016,648164.9365,65
193071.6542,723685.1052,73
166416.2868,601633.6697,106
234775.6209,751882.9747,27
202602.1187,553029.9717,1576
224831.5775,760310.6796,50
248808.3932,776367.0884,79
207309.4762,721734.0571,94
246326.8885,768931.0672,40
261194.1904,793987.5523,107
259908.7259,792811.2023,85
137803.359,567354.1958,69
258588.6284,736812.5652,29
193940.5404,726880.1342,62
258603.0385,791762.7926,105
190944.1352,695074.9764,126
189170.0528,672983.6101,5379
166108.8746,620464.9316,62
227689.7628,740391.5973,108
211534.4049,727865.2602,126
196251.9015,739714.7114,103
219437.6669,724162.585,145
223176.2251,771237.6217,138
198650.051,698259.3585,121
222599.2481,739595.2268,130
193039.266,696534.1003,107
212355.4034,637107.2184,454
215781.6617,625752.3305,88
195529.3187,635246.8642,55
216609.1305,741033.3374,80
184092.1638,675213.4927,7666
234591.7872,750076.4778,59
241380.2976,637089.1118,42
179330.7437,619151.7184,21
177328.5549,618587.814,26
170876.7462,611601.896,24
154668.7617,613157.9677,94
189751.2033,653659.1759,121
196428.7174,719347.2143,2235
194844.9902,624165.2623,65
157555.8365,595285.0523,20
200045.2429,626653.9314,37
164327.6096,596423.77,51
221258.3241,735858.6397,104
176010.2348,621127.3045,40
187302.2617,696380.5819,165
225077.755,717051.6457,65
195190.3992,671668.1983,199
207652.3068,600092.515,27
193210.0732,699288.317,103
259922.0134,759989.1864,154
193637.2027,652899.6434,108
191964.8863,705012.6646,6315
188995.6593,637631.8521,133
179547.8525,657938.5887,9517
135725.7349,571304.8065,26
257329.4735,773009.2736,72
228312.2951,766995.5939,171
188492.4314,699118.1596,166
246689.7955,753947.1591,73
193769.4725,578599.6967,15
232790.3898,769176.0027,121
197393.2671,671666.8346,58
237469.196,756679.9253,13
192016.8409,700452.1966,107
216423.2112,709612.2974,49
198947.2387,744928.038,14904
192245.8327,682938.0707,301
229503.8102,761706.7258,89
211999.0697,657012.6686,41
167546.3466,609657.4106,40
185030.4216,658421.7943,106
249155.3054,714010.4532,42
249813.7873,684218.8877,13
241439.0601,678534.9004,16
195329.2064,693222.5124,192
216619.4901,776984.81,111
223157.6091,743314.4331,83
274600.7049,750229.2603,36
181205.1057,633001.926,15
240137.2362,713940.9268,105
178302.9225,632059.8878,159
226695.9368,519702.6827,164
251316.8213,765400.7463,243
173582.8542,631194.2921,73
172789.7937,572097.833,88
191644.5129,700842.1863,119
187444.7783,681587.1723,171
204614.7954,707440.617,442
211398.0114,703300.8062,39
231024.0056,762432.8017,64
202370.0876,648708.4392,164
249488.8046,743591.7782,2207
255953.3204,763666.7383,28
235425.8812,742477.9299,33
200706.3096,685368.4038,54
196099.0598,682303.3879,145
193848.9263,657824.7541,121
197358.8695,741270.2953,729
249874.0761,703086.7861,25
190969.557,634813.6904,253
217064.1923,759066.8592,203
178163.7989,544721.2849,50
213329.1925,649256.2134,105
218174.2477,751017.3587,127
195882.7474,586986.9933,77
239898.3663,752524.2346,31
223183.5852,765572.9331,57
135115.8494,566749.2012,53
247188.876,735024.8881,316
175078.9669,643145.1924,2398
207369.9594,738792.1562,153
188701.5546,655073.8409,100
183237.1955,633912.335,58
208625.5878,635132.4201,21
200777.4062,692470.2064,127
158093.6072,610828.5567,87
172134.4503,618101.565,111
190662.9684,645269.8758,124
189533.9203,659908.3691,2748
212232.2364,443859.6759,51
256105.4563,794433.1809,110
225637.8771,753700.2674,160
225813.3294,749112.0867,112
274574.2819,760335.4447,107
162827.99,594738.4778,22
230450.8099,718605.6661,62
220877.9716,766924.7833,99
205802.5761,422945.2318,84
240295.442,650516.4757,20
162022.1134,599145.3664,29
195381.0164,690207.4862,298
179396.8506,627840.0665,145
256469.8189,773459.0239,342
215882.1368,756206.1842,106
223132.015,753695.4416,99
197010.3373,686043.03,40
217714.0061,774717.8248,63
226046.4249,732145.6787,422
244908.415,663354.6941,35
221360.102,731476.4469,94
251872.3862,781395.7363,77
222546.479,675004.5358,34
187006.8294,641259.3987,80
185296.7895,683872.3039,94
210863.4807,672838.9398,88
211036.1447,728916.1199,265
210054.2295,729138.0086,1745
242773.5965,775774.8758,71
253269.7036,718999.6918,83
193329.7188,544192.6121,498
220183.7413,632033.9331,13124
197249.2125,673362.2717,140
219146.3886,762117.0998,258
190485.8284,672408.2633,98
143015.1847,573153.1121,42
196835.0309,628775.4465,56
185782.1605,646941.2647,139
135777.5594,568690.3477,53
214277.4459,769574.0474,130
238422.5701,734253.3341,15
233186.5759,651983.4987,43
199705.9047,680886.786,678
223094.7844,643251.6746,72
168680.8606,615461.6147,232
251894.8506,757204.5333,148
248051.6591,755280.4365,73
142951.1235,587239.82,45
223680.7922,761178.5986,50
219000.2099,765057.6014,202
242831.6664,753333.0253,13
145574.4023,535788.9769,74
233919.2914,757072.5122,152
176599.6225,634524.1257,73
265952.8108,753090.6167,91
253158.2891,736469.7251,108
253324.3507,735495.0435,87
204786.104,631243.7135,53
228628.6452,763251.881,211
173692.2097,637678.7407,128
231266.7292,636989.6376,269
195070.576,633428.4041,186
176990.4194,628121.361,209
208417.0572,747322.2365,112
183653.1644,642294.2939,210
257196.3645,786495.6291,107
195094.0668,640966.8387,174
218165.2405,728007.6678,94
227598.8095,727737.0446,33
196423.8502,741359.6561,25
200717.7656,712440.974,44
254054.005,794221.2453,82
193772.6464,648954.938,120
203609.6653,647450.997,302
225920.4084,733968.5367,54
211118.5366,743994.2937,51
176372.5194,643880.5391,248
256621.0961,764559.6227,108
193932.1679,683575.7691,315
191856.0142,699606.6048,68
180271.3863,628336.3364,165
188732.7636,698566.2775,310
174062.8415,625302.6218,312
225354.2814,766749.5193,884
243750.0796,746339.3298,37
185982.6899,655205.8328,13
241299.4847,768427.9414,79
247440.5381,745178.5523,59
190827.5496,695629.4416,139
239700.3046,758031.1429,114
209014.4109,739520.2421,111
262428.896,740913.3783,79
192915.6228,654175.4717,245
215528.6721,762047.8286,308
190660.2774,694690.7176,170
214543.1664,732087.876,184
193789.3813,691409.4079,2285
233937.7974,719161.1229,243
196962.9275,686733.4737,81
241538.9848,736357.6193,24
232340.1829,739237.707,49
192324.6383,694921.4683,179
155793.1549,593629.6911,32
190208.1527,674931.9247,99
184379.9592,626549.817,200
209617.5118,755015.4951,75
176844.5664,637722.3966,158
188437.1736,687179.7648,183
261698.4866,788904.1534,117
192723.2892,676090.6946,7463
163297.5301,620254.3352,13
193009.9031,664837.8475,248
155660.3538,599250.4923,119
211013.1463,617427.971,35
200481.4112,710036.2654,28
197056.5835,669377.863,96
242411.6632,730314.8493,144
204928.3823,712312.9808,37
211087.7049,776761.9212,134
227250.5395,778189.2601,60
252570.3955,707117.2383,54
203485.0133,646362.7687,321
243168.254,762416.4819,28
193779.8907,643975.6937,227
183287.8371,677054.8301,325
239740.2996,732715.7005,493
223741.0675,669571.081,59
257203.2334,759528.9144,104
244122.6315,771308.3988,68
199397.4323,727963.9669,188
131804.5046,571062.851,26
192556.2287,639483.849,356
209558.7204,612930.6711,20
227276.1034,757321.7084,3489
156623.801,612697.8461,94
192160.6944,582396.2046,34
217490.2233,593114.1151,17
227162.3729,760839.5565,84
241789.1746,743825.2874,23
246707.8047,752177.8273,101
187593.4328,587518.3084,47
260842.0149,782879.8809,203
201135.8318,700138.2631,90
182192.4624,586529.4624,969
189790.68,650979.2926,2067
189302.9582,621683.8096,52
209529.0554,763032.8687,77
233746.1611,754200.1218,133
208213.3386,433106.2029,44
210776.8608,773847.3822,138
184953.5296,607989.9074,193
203184.4365,647168.4964,400
225179.7675,762887.6458,36
200749.8622,703379.2045,199
197520.899,721903.8736,20
210077.4848,625585.3103,108
216734.0466,702910.4631,39
203417.9019,639691.1859,53
261752.1711,738218.0347,86
198900.4705,648989.5789,30
167133.5863,595465.5403,168
143612.5458,572306.751,45
159765.7882,614546.4726,52
213484.9019,633641.3781,1275
224263.7874,758418.507,50
272000.9949,796891.5243,700
238961.93,754631.5461,310
196680.5634,736845.4968,184
248342.934,748677.1852,156
223062.4398,731638.8091,1553
232468.095,666331.5632,28
217318.4522,720597.6175,114
203486.1624,699094.8998,176
145622.4717,578919.7941,68
229195.1705,713941.2091,100
190592.1655,661531.324,267
215200.8495,722308.717,111
179015.7949,529236.6874,252
200207.991,645701.6199,6462
241743.6581,721276.378,150
214991.9194,633465.4712,169
228183.9995,713287.4739,16
237049.4594,758583.2829,93
222206.8577,748011.9422,60
193142.9338,662197.2718,288
185249.3083,639415.0948,1438
227214.3525,728506.4119,87
209523.0328,765471.255,53
248751.7649,696876.368,26
253764.0438,766091.0987,113
200771.8471,628401.1723,31
254242.9107,798163.9721,343
205894.4736,625024.9871,164
214182.9227,712142.8184,45
228472.6214,716826.9286,45
269362.8127,741684.8387,42
239895.4916,706554.4712,23
241421.6673,765809.9773,32
176790.1746,636316.3681,137
194103.0781,581797.2479,1082
240073.3367,674594.0104,12
188195.8455,701362.2662,267
231190.8512,756842.7017,91
222531.6357,718846.0954,39
161496.0808,588902.2586,22
248089.8212,778155.6474,78
178808.2192,618320.9211,24
222584.1315,750887.0138,106
218718.3369,771460.5852,76
252396.276,730287.2635,142
251152.0048,789038.128,37
239956.7998,749880.3837,77
256417.449,732111.8396,59
244830.0424,711268.4652,61
201146.7407,634396.232,148
160863.6139,581458.7252,91
270849.3837,793044.4879,95
191285.1549,696668.4147,140
161867.074,589545.9342,35
256596.1088,734717.9612,55
192333.7211,718052.6544,263
252042.5728,711051.7057,71
215258.5008,590797.3635,42
224658.1736,769052.5739,167
256997.8512,793905.1674,119
194658.789,719320.082,87
224385.6439,770221.0486,143
229773.99,632377.0976,2373
238396.7005,664090.2095,134
239631.9882,709199.6785,26
264355.4255,754912.6538,109
210640.286,636102.1862,75
222847.7176,662402.2752,22
229073.2131,642943.5432,78
206806.6529,674634.7989,85
226247.7155,768737.2069,1319
202937.0323,707003.1197,95
189893.751,663424.0099,183
158625.856,601190.9898,119
210723.1563,585794.0314,31
215075.9351,774152.2225,158
188267.5435,645762.1853,154
248016.7687,743997.5907,34
218868.8633,749362.4912,153
237414.1736,635901.2904,59
236512.4582,745444.571,43
180564.0841,502393.6421,447
238191.0919,608453.4755,39
204745.5279,705170.0129,57
251209.4768,791061.3758,84
272810.5103,782099.228,141
183551.3184,533087.8005,31
229980.4227,723294.7869,135
229166.5842,723534.8289,112
172421.8854,622839.0791,73
179498.0171,546059.5419,74
175446.6635,636459.6711,153
251561.2135,794706.4122,64
230687.0057,738411.0148,35
246471.0591,668863.6882,33
170838.1209,623467.5179,50
194912.8137,642089.8589,150
190753.8436,636651.9383,94
256410.3221,767824.8252,115
173178.949,585873.0718,72
213745.6115,723854.7934,143
183542.0161,657462.3996,258
191238.2617,695860.5688,72
198757.3537,710412.5141,97
192684.8312,681674.9815,224
164327.379,618525.1348,108
197818.1,673857.2968,527
233773.1846,771747.4715,55
265150.6084,743631.061,125
256061.9995,785009.3915,56
188659.375,570257.99,63
170022.2697,618825.8843,108
172089.475,614615.6546,150
218489.25,732866.3108,189
209576.4694,768554.9245,4352
273652.7232,748789.7763,87
171101.7999,614779.5779,32
252197.9295,721619.5312,67
269539.4885,796400.3579,43
207762.298,635055.7267,122
250304.2789,710915.2546,41
213628.1067,620660.371,84
217323.0206,770268.3841,103
203329.2354,438788.9524,49
193874.7925,731617.1208,66
194464.5271,675383.5446,331
193054.0853,671091.9566,240
175524.0569,634844.8872,42
200673.244,620074.6088,106
198045.8998,636160.9705,49
179977.3314,608413.7751,23
198833.3662,641487.6319,39
209854.1895,673564.461,85
213996.7406,740501.7712,413
192626.7179,661197.9281,94
223135.0112,616970.6377,131
190615.1086,691174.589,253
195456.6959,614916.0997,60
152292.1163,598029.159,51
180611.5876,618566.0932,49
213378.9682,653430.4598,11
191938.8145,662833.3619,106
200386.1447,630459.438,40
230244.8714,760042.0006,77
192878.125,724395.0559,114
195817.4542,637575.9209,66
195276.407,663147.693,59
230527.5555,774382.9233,49
270653.6588,751177.5768,55
178757.7873,650271.8746,155
206516.6032,637706.8336,124
204670.3799,652422.8419,212
165130.3667,627623.4395,205
142315.3368,534951.3002,88
200534.9646,690320.718,214
165495.2253,625032.6194,82
195406.0038,678194.7746,96
176837.4075,619992.2423,191
170192.948,637122.9095,45
243299.3894,712195.5055,111
172992.2744,613096.7801,59
223365.0561,719558.6515,168
138773.805,572044.4896,38
165579.7935,621816.7534,228
164974.817,598529.7013,87
143127.3665,580384.6522,49
160218.4585,603362.4625,44
199503.7757,733893.6237,23
166452.5688,597677.4653,85
187234.0249,650936.9576,222
142528.9399,582818.3956,50
198751.9588,672576.5708,212
205326.0237,628113.781,175
211664.4234,763444.4098,36
180734.4016,647841.026,3292
205819.9108,652001.3701,231
244235.495,646076.62,14
186699.7218,643422.6436,176
183541.1684,647899.3917,88
227728.0189,734143.2878,163
230795.1149,734451.6386,1764
204344.9586,741703.4878,1475
242214.3726,655052.6935,47
198404.8114,621787.7199,71
156403.1497,608735.6535,171
213065.8015,766543.1284,71
160457.8459,592170.0098,643
186926.721,690287.2458,11813
232572.9089,760710.501,28
237329.8953,770194.6158,75
188644.5865,661603.454,704
179166.8519,619897.6325,155
210847.7847,588834.3883,31
137293.1794,572051.7217,40
228479.8393,752272.2282,139
204892.8247,683206.7476,118
201903.9315,415937.0769,45
155903.7643,597779.2397,22
210570.7041,770436.2042,101
217900.1965,501948.5934,116
185424.4569,644139.9239,251
217380.3866,772688.8264,95
209759.9215,766320.7424,86
191765.2829,622782.6354,48
216577.3761,743131.3463,285
191228.0634,671895.7793,13
177659.8354,611191.2798,21
198749.0858,693213.1695,237
185279.8773,574781.8654,996
198560.6568,725354.4012,123
172016.5586,616165.1895,16
149411.1489,522613.8486,27
197430.8179,685372.729,102
191027.4908,643965.9036,161
171404.225,628846.0008,151
216812.0796,656357.3599,15
228644.5603,523934.6595,101
238039.1012,748962.1562,126
178186.3045,647019.738,12
224843.8341,735939.3819,24
195470.4591,726246.4166,252
237669.9865,760599.5281,30
260201.556,742949.0882,60
239392.6093,729189.8014,125
147050.9316,576904.7433,192
198660.8386,733931.3237,133
194577.5411,699167.7274,134
209350.4194,756529.7253,126
247458.7371,708443.826,33
207879.3812,726204.834,70
209724.6126,722388.8266,93
143057.4086,584701.2225,43
193770.5858,685704.5698,315
274589.3336,777961.9906,67
236948.7962,718969.446,83
237056.6648,718128.5892,72
222652.8379,507532.5143,184
221975.2176,768379.2323,132
195886.3933,731414.9684,102
211609.9727,633525.8776,16
201147.52,709972.0607,133
173400.9866,622648.4252,59
268576.9893,793573.6516,54
210821.0662,632991.6683,14
200963.4887,707695.4983,64
194130.978,686706.3884,263
194379.4128,665508.7489,108
208329.246,758645.1294,2030
153766.5455,595736.3453,16
224803.7889,663960.7411,121
206520.6612,664003.8232,103
247056.3141,773005.9914,33
227941.7743,637490.8643,148
249391.6016,767009.1642,52
213481.7248,628694.1553,108
250967.9684,759320.1634,83
144115.2795,573271.8135,23
202207.5239,718811.6346,182
258320.8701,786981.5068,90
213321.4077,674242.1824,27
215538.1575,764887.3433,83
207294.6558,735229.2257,31
227459.6876,724073.5691,3017
224849.5931,651201.1764,104
204599.8116,669638.3216,149
223947.6479,752296.3796,135
231930.187,750705.8176,72
221364.7083,777066.7245,28
220151.0134,573794.5091,1732
178472.1628,626635.6199,237
209237.5569,711628.0992,50
176162.8362,636963.4388,190
194965.9749,733200.043,710
202893.3869,594147.3429,33
214544.5785,475180.6165,128
205040.705,663186.7149,40
163045.833,581868.6471,37
188617.4504,640374.4055,86
251671.2427,735870.4747,52
250469.9755,739117.4102,127
251524.0275,737394.2123,149
195659.1016,686984.5078,155
158065.9748,581822.9446,49
222387.6923,759767.2064,12
172781.3851,649177.771,84
221431.2209,645067.419,31
229333.2795,772551.3639,116
170859.4419,594365.3916,49
241960.1092,661284.0865,30
231264.7075,764332.8119,173
197819.0115,708950.571,757
191662.2182,690309.863,751
240808.5468,759732.2406,73
229409.5193,716851.3978,49
138601.0582,570478.109,31
189330.9033,666948.3729,11509
189332.5995,641703.8381,139
155640.8655,568205.2271,64
231309.7059,755006.2448,47
239300.0781,770057.1364,32
211377.5365,632354.5901,78
145003.3106,572104.4913,79
201125.8342,678165.5199,155
192837.3305,677588.529,209
217144.4824,496654.8394,162
186873.6578,696385.9171,42
215982.1085,488713.4317,40
209163.0798,624797.5732,753
199951.8864,683024.8486,11
192040.143,689482.0497,408
201384.9717,683035.195,81
229714.8044,767955.0777,57
223824.5197,756358.6496,149
226455.2162,739110.8961,232
193207.0017,634814.0659,77
186523.363,656726.4735,43
194680.3101,618688.8831,101
247792.468,764037.3763,1071
195363.2376,728269.0421,195
197174.421,629972.4813,110
215905.3687,571855.1474,47
173601.5289,635913.5116,50
214809.353,680010.4984,28
192057.2281,687138.921,2345
178824.8646,623300.8755,12
265689.3042,770409.7506,139
229493.0915,629041.3832,155
180784.2486,635925.4156,291
244714.4611,756023.9226,45
223991.4881,749838.3512,97
205626.9404,431196.2207,45
192079.4112,711223.4433,811
169366.0091,595188.2399,104
244328.8477,628681.8656,58
198261.0333,688411.176,12
264456.0922,781996.7666,51
265389.4708,766057.7314,908
186798.4471,662934.9997,2899
211492.7251,605570.9667,155
210144.2812,745681.4784,3081
209407.525,749073.2659,2647
177362.0581,613281.6054,1736
212129.6086,735221.4453,2468
207045.023,750441.7036,2054
208058.4158,749680.3738,2422
175960.9805,626640.5975,466
210759.1444,669282.0593,53
211358.3965,635273.0848,48
183172.234,641066.4667,614
253643.3399,790131.3797,1485
209242.4882,675419.0131,335
276066.7334,764892.442,41
234657.9896,760394.3696,261
196550.4375,666814.9584,3241
251056.6139,763501.3077,510
211834.3218,619443.9789,30
180285.3817,652959.1938,17317
212215.0499,669497.457,33
182624.9345,631141.5387,90
173336.2307,550308.4337,115
209566.9615,764578.2939,152
203471.779,714487.2142,70
176773.2174,588617.2577,71
174794.0341,617551.2006,57
244594.1842,706018.624,30
172002.9267,600646.905,80
245780.9254,683881.534,39
249000.3635,693700.0881,18
246206.7053,706375.8216,33
182861.8575,644475.9211,7677
245924.12,772650.1638,24
213051.7478,708250.1455,55
229724.1431,736118.36,20
232336.9583,649013.6058,96
193355.121,661269.3416,207
224579.6297,714808.4711,126
261150.801,751054.9212,181
189190.0576,674771.0168,357
186416.2095,642405.5716,140
205662.8268,722543.3816,164
252009.5191,778455.1,128
188065.9515,648252.092,2525
183799.2091,663693.3378,9587
219309.6059,731525.4076,55
194333.024,680486.9218,97
209388.799,724149.5105,114
184507.9311,671981.2669,4147
211763.332,744232.1214,139
215855.8393,734301.8369,1084
275974.2283,750125.59,61
239134.1242,721917.1647,149
207000.9093,631260.6368,143
220782.5316,627395.2046,36
162022.3146,583060.827,53
148649.4954,588430.169,74
187849.7638,677143.1302,5194
225087.4714,751092.2403,146
183602.5026,678548.2606,222
245046.7681,709606.0632,93
170320.3077,551505.9414,26
261006.8605,792805.6051,142
208209.0149,765149.3547,151
217644.0259,685536.4023,35
238269.3821,731590.309,19
184634.6097,567181.8731,33
239999.594,739323.3217,65
248592.5554,705282.5494,35
252664.4816,772251.7787,167
180131.4644,531281.6972,100
169989.0264,609387.2164,39
190510.0006,679556.6064,280
169847.4483,616877.7848,65
213517.9942,733748.5279,62
199736.2936,701226.8891,136
181244.5493,613270.5717,121
245528.1306,714653.6347,90
258531.0301,787943.0574,128
144651.7257,571168.0517,61
169439.7059,629532.4431,110
172644.8735,595431.7075,93
190255.0594,711039.5762,165
192565.2798,625419.2368,35
136855.0982,569226.8719,78
194935.3925,674125.9933,14
245932.8699,705033.4014,50
175642.1882,637954.973,141
241121.4025,733582.2834,196
250549.0991,694734.4206,26
161853.6833,603953.7757,805
207532.8389,634018.8504,105
156786.224,595536.9926,28
